Week,emigrate,zouxian
1/5/20,32,0
1/12/20,28,0
1/19/20,33,0
1/26/20,49,10
2/2/20,81,0
2/9/20,70,0
2/16/20,55,5
2/23/20,72,0
3/1/20,74,0
3/8/20,50,0
3/15/20,54,0
3/22/20,49,7
3/29/20,31,0
4/5/20,33,5
4/12/20,31,14
4/19/20,39,0
4/26/20,33,9
5/3/20,55,5
5/10/20,24,0
5/17/20,40,0
5/24/20,45,7
5/31/20,39,6
6/7/20,36,0
6/14/20,32,0
6/21/20,47,0
6/28/20,36,0
7/5/20,30,10
7/12/20,40,12
7/19/20,34,0
7/26/20,26,0
8/2/20,41,0
8/9/20,35,0
8/16/20,36,0
8/23/20,27,0
8/30/20,33,5
9/6/20,18,10
9/13/20,32,0
9/20/20,40,0
9/27/20,47,6
10/4/20,47,0
10/11/20,45,16
10/18/20,0,0
10/25/20,31,0
11/1/20,21,0
11/8/20,23,0
11/15/20,36,0
11/22/20,29,9
11/29/20,37,0
12/6/20,24,0
12/13/20,12,6
12/20/20,31,0
12/27/20,36,0
1/3/21,40,0
1/10/21,41,0
1/17/21,31,10
1/24/21,41,0
1/31/21,34,0
2/7/21,19,0
2/14/21,40,0
2/21/21,23,0
2/28/21,35,0
3/7/21,26,0
3/14/21,33,0
3/21/21,27,4
3/28/21,28,0
4/4/21,25,0
4/11/21,32,2
4/18/21,16,0
4/25/21,26,0
5/2/21,28,0
5/9/21,18,0
5/16/21,19,0
5/23/21,27,0
5/30/21,19,4
6/6/21,22,3
6/13/21,32,0
6/20/21,27,0
6/27/21,24,3
7/4/21,34,0
7/11/21,26,0
7/18/21,35,3
7/25/21,24,3
8/1/21,33,2
8/8/21,27,2
8/15/21,32,0
8/22/21,31,4
8/29/21,31,0
9/5/21,29,5
9/12/21,23,0
9/19/21,21,0
9/26/21,32,2
10/3/21,23,8
10/10/21,20,4
10/17/21,19,0
10/24/21,19,0
10/31/21,25,0
11/7/21,22,0
11/14/21,23,6
11/21/21,30,5
11/28/21,19,0
12/5/21,23,0
12/12/21,37,4
12/19/21,31,0
12/26/21,39,7
1/2/22,33,0
1/9/22,23,0
1/16/22,20,2
1/23/22,32,4
1/30/22,41,0
2/6/22,23,0
2/13/22,37,1
2/20/22,31,0
2/27/22,32,1
3/6/22,34,0
3/13/22,28,4
3/20/22,28,1
3/27/22,34,2
4/3/22,50,0
4/10/22,82,1
4/17/22,70,1
4/24/22,73,4
5/1/22,86,2
5/8/22,76,3
5/15/22,62,5
5/22/22,51,3
5/29/22,47,0
6/5/22,40,4
6/12/22,35,4
6/19/22,45,5
6/26/22,45,5
7/3/22,44,3
7/10/22,51,0
7/17/22,41,5
7/24/22,41,4
7/31/22,47,4
8/7/22,45,0
8/14/22,37,4
8/21/22,63,2
8/28/22,51,0
9/4/22,55,5
9/11/22,60,0
9/18/22,59,4
9/25/22,46,0
10/2/22,71,0
10/9/22,47,4
10/16/22,61,4
10/23/22,100,5
10/30/22,84,5
11/6/22,84,6
11/13/22,64,2
11/20/22,51,6
11/27/22,67,6
12/4/22,51,2
12/11/22,42,0
12/18/22,40,10
12/25/22,53,3
1/1/23,38,4
1/8/23,40,7
1/15/23,50,0
1/22/23,83,4
1/29/23,53,9
2/5/23,41,9
2/12/23,56,10
2/19/23,55,6
2/26/23,47,7
3/5/23,45,6
3/12/23,36,5
3/19/23,33,0
3/26/23,47,6
4/2/23,40,7
4/9/23,46,3
4/16/23,37,12
4/23/23,36,7
4/30/23,40,7
5/7/23,41,6
5/14/23,36,10
5/21/23,39,9
5/28/23,38,7
6/4/23,38,2
6/11/23,45,7
6/18/23,37,0
6/25/23,45,10
7/2/23,41,6
7/9/23,35,3
7/16/23,38,3
7/23/23,38,2
7/30/23,55,3
8/6/23,66,4
8/13/23,55,5
8/20/23,50,7
8/27/23,41,4
9/3/23,44,7
9/10/23,35,5
9/17/23,31,3
9/24/23,48,7
10/1/23,41,4
10/8/23,37,4
10/15/23,39,2
10/22/23,46,4
10/29/23,35,7
11/5/23,39,7
11/12/23,39,0
11/19/23,31,7
11/26/23,32,10
12/3/23,31,4
12/10/23,0,0